inputs,GHGE-M,GHGE-S,Primary Spot Wholesale prices-M,Primary Spot Wholesale prices-S,Tariffs-M,Tariffs-S,Renewable energy-M,Renewable energy-S
annualCpi,,,,,6,13,,
annualInflation,,,2,11,3,7,,
consumption,7,9,6,5,8,4,,11
domesticConsumptionPercentage,1,2,14,3,,11,,13
energyEfficiency,,,15,16,,20,,
generationRolloutPeriod,3,1,3,2,5,3,2,1
generatorRetirement,,13,7,8,10,9,10,10
importPriceFactor,,,5,10,4,8,,
includePublicallyAnnouncedGen,6,4,9,6,,10,5,2
learningCurve,,11,,,,,,12
nameplateCapacityChangeBattery,,,,14,,21,,
nameplateCapacityChangeBrownCoal,2,5,1,1,2,2,1,5
nameplateCapacityChangeCcgt,,,,,,,,
nameplateCapacityChangeOcgt,,,12,15,,16,,
nameplateCapacityChangeSolar,,,,,,,,
nameplateCapacityChangeWater,,14,13,17,,18,7,9
nameplateCapacityChangeWind,5,8,4,4,7,5,4,8
nonScheduleGenSpotMarket,,12,8,7,13,6,9,14
nonScheduleMinCapMarketGen,,,,,,19,,
onsiteGeneration,,,,,,,,
priceChangePercentageBattery,,,11,13,12,14,,
priceChangePercentageBrownCoal,8,6,,,,,6,4
priceChangePercentageCcgt,,,,,,,,
priceChangePercentageOcgt,,,10,18,11,15,,
priceChangePercentageSolar,,,,,,,,
priceChangePercentageWater,,10,,,,,8,7
priceChangePercentageWind,,7,,,,,11,6
rooftopPV,,,,,,,,
scheduleMinCapMarketGen,,,,9,,17,,
semiScheduleGenSpotMarket,4,3,16,12,9,12,3,3
semiScheduleMinCapMarketGen,,,,,,,,
solarUptake,,,,,,,,
technologicalImprovement,,,,,,,,
wholesaleTariffContribution,,,,,1,1,,
