Time(year),Population Australia,Population Victoria,Males Victoria,Females Victoria
1901,3788123,1203000,604272,598728
1902,3845265,1206287,603923,602364
1903,3891519,1204318,600082,604236
1904,3941208,1201409,596203,605206
1905,3999074,1204751,595460,609291
1906,4059083,1212437,597378,615059
1907,4122201,1226016,602736,623280
1908,4190692,1237772,606736,631036
1909,4272439,1259463,619908,639555
1910,4367405,1278672,632285,646387
1911,4489545,1319428,657250,662178
1912,4653721,1355900,676576,679324
1913,4820172,1393156,694192,698964
1914,4948990,1426081,713165,712916
1915,4985569,1431835,706458,725377
1916,4943173,1412891,678939,733952
1917,4940815,1408565,666383,742182
1918,5029403,1423074,674441,748633
1919,5193104,1473903,715313,758590
1920,5360462,1511863,744327,767536
1921,5455136,1535739,757244,778495
1922,5569889,1570434,776755,793679
1923,5693369,1607685,798733,808952
1924,5811145,1639821,815481,824340
1925,5939231,1670957,833885,837072
1926,6056360,1694565,845195,849370
1927,6182488,1726790,862334,864456
1928,6302210,1750111,873057,877054
1929,6393883,1768577,881354,887223
1930,6462610,1784669,888591,896078
1931,6526485,1799529,894820,904709
1932,6576824,1807828,897718,910110
1933,6629839,1820261,903244,917017
1934,6677361,1828993,906374,922619
1935,6726258,1836791,908747,928044
1936,6778372,1844931,911638,933293
1937,6835536,1852998,914947,938051
1938,6898541,1864627,920832,943795
1939,6967754,1878480,927021,951459
1940,7039490,1900128,938945,961183
1941,7109898,1933504,957258,976246
1942,7180736,1962643,972393,990250
1943,7234904,1974130,976846,997284
1944,7309711,1990011,983343,1006668
1945,7391692,2007029,991049,1015980
1946,7465157,2025134,999191,1025943
1947,7579358,2054701,1013867,1040834
1948,7708761,2092320,1030563,1061757
1949,7908066,2142986,1056958,1086028
1950,8178696,2208078,1097556,1110522
1951,8421775,2276575,1136995,1139580
1952,8636458,2344491,1177296,1167195
1953,8815362,2395254,1202936,1192318
1954,8986530,2452341,1231099,1221242
1955,9199729,2517229,1266616,1250613
1956,9425563,2593468,1307253,1286215
1957,9640138,2656257,1338297,1317960
1958,9842333,2718482,1367970,1350512
1959,10056479,2785905,1400192,1385713
1960,10275020,2857389,1437353,1420036
1961,10548267,2930366,1474536,1455830
1962,10742291,2983058,1498161,1484897
1963,10950379,3040841,1526344,1514497
1964,11166702,3105519,1558386,1547133
1965,11387665,3164369,1587580,1576789
1966,11599498,3220217,1614240,1605977
1967,11799078,3274340,1640118,1634222
1968,12008635,3324180,1664208,1659972
1969,12263014,3385043,1693941,1691102
1970,12507349,3444936,1723210,1721726
1971,13067265,3601352,1799486,1801866
1972,13303664,3661254,1828978,1832276
1973,13504538,3707653,1852056,1855597
1974,13722571,3755726,1875820,1879906
1975,13892995,3787441,1890499,1896942
1976,14033083,3810426,1900488,1909938
1977,14192234,3837364,1911900,1925464
1978,14359255,3863759,1922930,1940829
1979,14515729,3886406,1932332,1954074
1980,14695356,3914303,1944400,1969903
1981,14923260,3946917,1958717,1988200
1982,15184247,3992870,1981619,2011251
1983,15393472,4035702,2003140,2032562
1984,15579391,4076492,2023349,2053143
1985,15788312,4120068,2045027,2075041
1986,16018350,4160856,2065739,2095117
1987,16263874,4210111,2089786,2120325
1988,16532164,4262569,2116566,2146003
1989,16814416,4320164,2144305,2175859
1990,17065128,4378592,2172635,2205957
1991,17284036,4420373,2192113,2228260
1992,17478635,4450217,2205266,2244951
1993,17634808,4462766,2209272,2253494
1994,17805468,4472989,2212863,2260126
1995,18004882,4497660,2223681,2273979
1996,18224767,4534984,2240199,2294785
1997,18423037,4569297,2254670,2314627
1998,18607584,4606970,2271763,2335207
1999,18812264,4652462,2292656,2359806
2000,19028802,4704065,2317083,2386982
2001,19274701,4763615,2345980,2417635
2002,19495210,4817774,2374296,2443478
2003,19720737,4873809,2403965,2469844
2004,19932722,4927149,2431958,2495191
2005,20176844,4989246,2464587,2524659
2006,20450966,5061266,2502687,2558579
2007,20827622,5153522,2551093,2602429
2008,21249199,5256375,2603921,2652454
2009,21691653,5371934,2663347,2708587
2010,22031750,5461101,2705597,2755504
2011,22340024,5537817,2740959,2796858
2012,22733465,5651091,2796315,2854776
2013,23128129,5772669,2856419,2916250
2014,23475686,5894917,2915277,2979640
2015,23815995,6022322,2977200,3045122
2016,24190907,6173172,3051056,3122116
2017,24773350,6387081,3158916,3228165
2018,25171291,6528601,3231781,3296820
2019,25549620,6658771,3297998,3360773
